lat2,lon2,lux2
42.36536447,-71.07963580,12.69
42.36536447,-71.07952776,2.17
42.36536462,-71.07963577,12.6
42.36536469,-71.07963579,12.86
42.36536511,-71.07963537,12.87
42.36536522,-71.07963543,12.61
42.36536542,-71.07953374,2.97
42.36536605,-71.07953968,2.93
42.36536629,-71.07963374,12.69
42.36536746,-71.07955085,3.05
42.36536782,-71.07963096,12.61
42.36536784,-71.07963125,12.61
42.36536785,-71.07963102,12.87
42.36536786,-71.07963437,12.68
42.36536796,-71.07963115,12.69
42.36536798,-71.07963125,12.87
42.36536808,-71.07963179,12.61
42.36536809,-71.07955622,2.97
42.36536838,-71.07963115,12.87
42.36536839,-71.07963115,12.69
42.36536852,-71.07963132,12.87
42.36536855,-71.07956128,4.46
42.36536860,-71.07963091,12.6
42.36536866,-71.07963094,12.68
42.36536868,-71.07963221,12.14
42.36536907,-71.07956620,4.59
42.36536918,-71.07963130,12.6
42.36536925,-71.07963157,12.68
42.36536937,-71.07963056,12.87
42.36536943,-71.07963062,12.69
42.36536943,-71.07963017,12.69
42.36537016,-71.07963268,12.41
42.36537028,-71.07957535,4.53
42.36537030,-71.07963212,12.03
42.36537060,-71.07957958,4.46
42.36537106,-71.07962934,12.61
42.36537107,-71.07962977,12.61
42.36537109,-71.07962937,12.87
42.36537126,-71.07958328,4.59
42.36537159,-71.07963115,12.94
42.36537175,-71.07962899,12.87
42.36537177,-71.07962907,12.69
42.36537201,-71.07958701,6.84
42.36537225,-71.07963536,12.86
42.36537236,-71.07963125,12.64
42.36537252,-71.07963708,12.87
42.36537255,-71.07963169,12.68
42.36537259,-71.07963238,12.5
42.36537268,-71.07963235,12.5
42.36537299,-71.07959385,6.75
42.36537303,-71.07963895,14.49
42.36537320,-71.07964122,14.22
42.36537340,-71.07959691,6.9
42.36537371,-71.07963193,13.17
42.36537375,-71.07963169,12.68
42.36537394,-71.07959983,8.64
42.36537476,-71.07963110,12.51
42.36537489,-71.07963102,12.51
42.36537565,-71.07960714,8.57
42.36537579,-71.07961169,10.23
42.36537597,-71.07960929,8.64
42.36537642,-71.07961513,10.25
42.36537650,-71.07963047,12.51
42.36537654,-71.07963052,12.5
42.36537667,-71.07961989,10.23
42.36537669,-71.07961831,10.42
42.36537684,-71.07962474,11.38
42.36537690,-71.07962564,11.35
42.36537698,-71.07962367,11.56
42.36537709,-71.07962111,11.35
42.36537729,-71.07962651,12.41
42.36538086,-71.07962862,12.53
42.36538135,-71.07962765,12.53
42.36538139,-71.07964274,14.35
42.36538175,-71.07964914,14.49
42.36538206,-71.07965275,16.81
42.36538273,-71.07965640,17.09
42.36538334,-71.07962729,12.68
42.36538360,-71.07962720,12.51
42.36538367,-71.07970067,22.53
42.36538373,-71.07966437,16.88
42.36538402,-71.07966876,16.81
42.36538417,-71.07962700,12.68
42.36538424,-71.07962684,12.47
42.36538467,-71.07967322,17.09
42.36538534,-71.07968290,21.02
42.36538562,-71.07974811,21.12
42.36538573,-71.07968787,21.02
42.36538596,-71.07972231,22.53
42.36538612,-71.07969287,21.12
42.36538617,-71.07975435,20.75
42.36538666,-71.07972810,20.75
42.36538743,-71.07975964,14.99
42.36538815,-71.07973972,20.7
42.36538871,-71.07977259,15.73
42.36538902,-71.07708463,7.91
42.36538938,-71.07977920,15.24
42.36539007,-71.07978590,14.99
42.36539159,-71.07979941,11.81
42.36539230,-71.07980644,11.45
42.36539467,-71.07707962,10.83
42.36539596,-71.07981361,11.42
42.36539642,-71.07982094,11.46
42.36539765,-71.07983597,11.34
42.36539802,-71.07984361,11.65
42.36539886,-71.07985116,11.46
42.36539935,-71.07985902,11.34
42.36540091,-71.07987468,22.09
42.36540200,-71.07988254,20.89
42.36540260,-71.07989065,21.15
42.36540458,-71.07990668,22.09
42.36540530,-71.07991521,20.89
42.36540623,-71.07992367,21.15
42.36540707,-71.07993235,22.09
42.36540898,-71.07994942,54.1
42.36541041,-71.07995801,53.2
42.36541112,-71.07996725,51.3
42.36541220,-71.07997612,54.1
42.36541393,-71.07999460,53.2
42.36541494,-71.08000386,51.3
42.36541619,-71.08001302,25.7
42.36541707,-71.08022712,5.02
42.36541866,-71.08003202,53.2
42.36541936,-71.08004164,9.93
42.36542049,-71.08005120,25.7
42.36542186,-71.08006102,10.63
42.36542387,-71.08008054,9.93
42.36542492,-71.08009067,4.67
42.36542590,-71.08010071,4.55
42.36542824,-71.08012094,4.37
42.36542889,-71.07706051,6.055
42.36542930,-71.08013121,3.47
42.36543071,-71.08014149,3.44
42.36543138,-71.08015219,3.53
42.36543377,-71.08017333,3.47
42.36543477,-71.08018414,4.98
42.36543580,-71.08019487,5.29
42.36543598,-71.07705411,1.56
42.36543976,-71.08022747,4.98
42.36544094,-71.08023859,5.29
42.36544337,-71.08026086,10.06
42.36544575,-71.08028353,10.14
42.36544620,-71.07705172,1.725
42.36544708,-71.08029497,10.74
42.36544848,-71.08030635,13.43
42.36544964,-71.08031780,12.97
42.36545210,-71.08034074,12.87
42.36545343,-71.08035211,13.43
42.36545496,-71.08036360,11.58
42.36545759,-71.08038644,11.05
42.36545901,-71.08039776,11.86
42.36546036,-71.08040916,11.58
42.36546180,-71.08042048,5.94
42.36546430,-71.08044322,5.33
42.36546567,-71.08045461,5.68
42.36546710,-71.08046584,5.94
42.36546855,-71.08047704,4.74
42.36547139,-71.08049952,4.76
42.36547272,-71.08051061,4.78
42.36547433,-71.08052172,4.7
42.36547688,-71.08054403,4.75
42.36547868,-71.08055498,4.68
42.36548032,-71.08056603,4.7
42.36548144,-71.08057725,4.79
42.36548431,-71.08059936,5.06
42.36548568,-71.08061050,4.77
42.36548740,-71.08062150,4.79
42.36548884,-71.08063265,5.06
42.36549155,-71.08065496,5.97
42.36549309,-71.08066612,5.69
42.36549446,-71.08067735,5.22
42.36549739,-71.08069978,10.27
42.36549871,-71.08071115,11.07
42.36550024,-71.08072243,12.57
42.36550169,-71.08073370,10.27
42.36550466,-71.08075640,17.62
42.36550626,-71.08076768,17.51
42.36550767,-71.08077917,17.85
42.36550929,-71.08079054,17.62
42.36551260,-71.08081336,17.51
42.36551386,-71.08082505,19.21
42.36551540,-71.08083654,18.85
42.36551856,-71.08085982,18.81
42.36552045,-71.08087125,11.4
42.36552201,-71.08088284,11.11
42.36552364,-71.08089449,10.82
42.36552684,-71.08091785,11.4
42.36552849,-71.08092953,8.01
42.36553007,-71.08094131,8.25
42.36553371,-71.08096474,8.07
42.36553553,-71.08097642,8.01
42.36553690,-71.08098827,11.91
42.36553870,-71.08100007,11.43
42.36554208,-71.08222639,13.02
42.36554213,-71.08222639,13.09
42.36554230,-71.08102357,11.44
42.36554405,-71.08222549,13.47
42.36554428,-71.08103540,11.91
42.36554506,-71.08222475,13.48
42.36554515,-71.08222471,13.05
42.36554584,-71.08104734,19.72
42.36554737,-71.08222366,13.09
42.36554774,-71.08105910,20.15
42.36554838,-71.08222307,13.11
42.36554855,-71.08222305,13.47
42.36554871,-71.08222322,13.05
42.36554872,-71.08222301,13.02
42.36554932,-71.08222240,13.05
42.36554958,-71.08222258,13.09
42.36555030,-71.08222230,13.47
42.36555044,-71.08222224,13.03
42.36555156,-71.08108252,20.78
42.36555309,-71.08222037,13.5
42.36555318,-71.08109442,19.72
42.36555486,-71.08110632,24.68
42.36555500,-71.08222069,13.1
42.36555516,-71.08222068,13.44
42.36555554,-71.08221553,12.59
42.36555557,-71.08221474,12.65
42.36555560,-71.08221947,13.05
42.36555572,-71.08221946,13.15
42.36555574,-71.08221967,13.06
42.36555606,-71.08221931,13.51
42.36555700,-71.08221785,13.51
42.36555841,-71.08221833,13.47
42.36555842,-71.08221830,13.09
42.36555857,-71.08221718,13.49
42.36555859,-71.08221718,13.12
42.36555876,-71.08112998,24.61
42.36555905,-71.08221861,13.03
42.36556072,-71.08221114,11.63
42.36556074,-71.08221685,13.45
42.36556075,-71.08221684,13.53
42.36556115,-71.08221687,13.13
42.36556126,-71.08221680,13.04
42.36556147,-71.08221627,13.12
42.36556157,-71.08221629,13.5
42.36556167,-71.08221474,13.21
42.36556167,-71.08221440,12.65
42.36556176,-71.08221666,13.04
42.36556195,-71.08221530,13.12
42.36556215,-71.08115396,24.88
42.36556247,-71.08221572,13.04
42.36556259,-71.08221634,13.1
42.36556262,-71.08221617,13.51
42.36556292,-71.08221502,13.12
42.36556329,-71.08221473,13.04
42.36556336,-71.08221656,13.04
42.36556342,-71.08221652,13.13
42.36556344,-71.08221540,13.15
42.36556354,-71.08221533,13.05
42.36556381,-71.08221386,13.34
42.36556401,-71.08221367,13.05
42.36556408,-71.08116578,17.69
42.36556487,-71.08221450,13.04
42.36556490,-71.08221514,13.06
42.36556521,-71.08221391,13.13
42.36556523,-71.08221491,13.12
42.36556530,-71.08221491,13.47
42.36556530,-71.08221380,13.2
42.36556535,-71.08221387,13.04
42.36556618,-71.08117763,16.65
42.36556663,-71.08221502,13.44
42.36556685,-71.08221291,13.22
42.36556687,-71.08221290,13.66
42.36556746,-71.08220557,11.63
42.36556984,-71.08220991,13.14
42.36557022,-71.08221063,13.15
42.36557025,-71.08120139,18.15
42.36557060,-71.08221098,13.21
42.36557083,-71.08221105,13.66
42.36557089,-71.08221114,13.34
42.36557175,-71.08221155,13.36
42.36557184,-71.08221153,13.03
42.36557233,-71.08121327,17.69
42.36557282,-71.08220936,13.61
42.36557366,-71.08220879,13.21
42.36557416,-71.08220965,13.32
42.36557420,-71.08220890,13.63
42.36557425,-71.08220893,13.15
42.36557440,-71.08122517,8.36
42.36557494,-71.08220814,13.04
42.36557524,-71.08220834,13.13
42.36557528,-71.08220836,13.17
42.36557532,-71.08220895,13.2
42.36557541,-71.08220889,13.36
42.36557562,-71.08220906,13.14
42.36557579,-71.08220772,13.02
42.36557595,-71.08220757,13.2
42.36557614,-71.08220754,13.37
42.36557627,-71.08220928,13.22
42.36557642,-71.08123709,8.71
42.36557643,-71.08220743,13.24
42.36557664,-71.08220721,13.35
42.36557671,-71.08220719,13.03
42.36557696,-71.08220837,13.34
42.36557719,-71.08220709,13.04
42.36557734,-71.08220699,13.23
42.36557743,-71.08220693,13.37
42.36557758,-71.08220861,13.36
42.36557762,-71.08220696,13.13
42.36557763,-71.08220859,13.03
42.36557767,-71.08220697,13.16
42.36557774,-71.08220807,13.14
42.36557775,-71.08220807,13.39
42.36557779,-71.08220666,13.2
42.36557797,-71.08220661,13.36
42.36557850,-71.08220784,13.02
42.36557875,-71.08220744,13.4
42.36557887,-71.08220744,13.02
42.36557903,-71.08220730,13.13
42.36557920,-71.08220434,12.52
42.36557923,-71.08220600,13.23
42.36557930,-71.08220748,13.79
42.36557944,-71.08220592,13.37
42.36557956,-71.08220669,13.03
42.36558002,-71.08220647,13.2
42.36558003,-71.08220647,13.37
42.36558034,-71.08220674,13.02
42.36558057,-71.08126091,8.55
42.36558104,-71.08220728,13.32
42.36558176,-71.08220578,13.2
42.36558177,-71.08220576,13.02
42.36558182,-71.08220616,13.39
42.36558261,-71.08127273,8.36
42.36558269,-71.08220450,13.61
42.36558357,-71.08220469,13.21
42.36558368,-71.08221086,13.87
42.36558370,-71.08220464,13.37
42.36558425,-71.08220353,13.06
42.36558427,-71.08220484,13.38
42.36558435,-71.08220484,13.14
42.36558437,-71.08128466,8.64
42.36558467,-71.08220461,13.02
42.36558578,-71.08220274,13.39
42.36558585,-71.08220270,13.06
42.36558649,-71.08220773,13.82
42.36558664,-71.08220316,13.04
42.36558837,-71.08130842,8.76
42.36558864,-71.08220220,13.04
42.36558967,-71.08220215,13.02
42.36558975,-71.08220207,13.15
42.36559037,-71.08132032,9.06
42.36559229,-71.08133209,8.64
42.36559260,-71.08220064,13.02
42.36559388,-71.08220006,13.16
42.36559391,-71.08220005,13.02
42.36559443,-71.08134383,15.77
42.36559759,-71.08219816,13.15
42.36559759,-71.08219814,13.38
42.36559819,-71.08136732,16.39
42.36559836,-71.08219781,13.38
42.36560033,-71.08137901,15.55
42.36560242,-71.08139062,15.77
42.36560413,-71.08140240,16.39
42.36560764,-71.08142568,27.91
42.36560989,-71.08143725,27.83
42.36561157,-71.08144892,28.07
42.36561553,-71.08147178,28.37
42.36561721,-71.08148342,27.82
42.36561903,-71.08149479,26.91
42.36562114,-71.08150595,14.7
42.36562486,-71.08152849,14.95
42.36562669,-71.08153975,14.17
42.36562837,-71.08155073,14.7
42.36563182,-71.08157307,9.33
42.36563374,-71.08158410,8.86
42.36563502,-71.08159524,9.49
42.36563675,-71.08160614,9.33
42.36563951,-71.08162822,6.45
42.36564174,-71.08163882,6.49
42.36564330,-71.08164966,6.45
42.36564469,-71.08166044,6.45
42.36564789,-71.08168157,8.72
42.36564953,-71.08169222,8.8
42.36565093,-71.08170273,8.93
42.36565364,-71.08172377,8.72
42.36565512,-71.08173419,11.59
42.36565651,-71.08174471,11.93
42.36565814,-71.08175517,11.5
42.36566098,-71.08177599,11.59
42.36566228,-71.08178646,22.63
42.36566355,-71.08179684,20.88
42.36566483,-71.08180718,21.59
42.36566763,-71.08182785,22.63
42.36566898,-71.08183800,20.88
42.36567055,-71.08184812,21.59
42.36567308,-71.08186814,22.63
42.36567386,-71.07684152,7.085
42.36567406,-71.08187836,31.1
42.36567533,-71.08188813,30.2
42.36567751,-71.08190714,28.4
42.36567987,-71.08192517,31.1
42.36568071,-71.07683518,5.57
42.36568157,-71.08193356,30.2
42.36568218,-71.08194232,28.4
42.36568347,-71.08195038,31.1
42.36568566,-71.08196624,30.2
42.36568670,-71.08197384,28.4
42.36568759,-71.08198102,7.09
42.36568905,-71.07682744,6.53
42.36568933,-71.08199513,6.94
42.36569053,-71.08200148,6.68
42.36569100,-71.08200786,4.96
42.36569183,-71.08201399,4.92
42.36569354,-71.08202538,4.88
42.36569396,-71.08203105,4.96
42.36569489,-71.08203610,4.22
42.36569549,-71.08204121,4.21
42.36569642,-71.07682073,5.82
42.36569665,-71.08205066,4.34
42.36569708,-71.08205515,4.22
42.36569788,-71.08205924,4.88
42.36569912,-71.08206704,4.81
42.36569970,-71.08207074,4.75
42.36569999,-71.08207437,4.88
42.36570069,-71.08207760,5.7
42.36570129,-71.08214522,13.37
42.36570132,-71.08208399,5.64
42.36570193,-71.08214533,13.23
42.36570194,-71.08214543,13.03
42.36570195,-71.08214535,13.23
42.36570195,-71.08208686,5.78
42.36570197,-71.08214536,13.37
42.36570198,-71.08214547,13.03
42.36570198,-71.08214535,13.03
42.36570199,-71.08214540,13.04
42.36570201,-71.08214547,13.21
42.36570201,-71.08214546,13.04
42.36570201,-71.08214534,13.22
42.36570206,-71.08214548,13.04
42.36570208,-71.08214543,13.23
42.36570208,-71.08214538,13.38
42.36570209,-71.08214551,13.19
42.36570212,-71.08214534,13.05
42.36570213,-71.08214538,13.22
42.36570214,-71.08214543,13.37
42.36570214,-71.08214525,13.37
42.36570219,-71.08214543,13.2
42.36570219,-71.08214537,13.38
42.36570220,-71.08214540,13.36
42.36570220,-71.08214532,13.38
42.36570223,-71.08214538,13.22
42.36570224,-71.08214540,13.02
42.36570225,-71.08214538,13.36
42.36570226,-71.08214533,13.37
42.36570227,-71.08214542,13.03
42.36570232,-71.08208969,6.84
42.36570283,-71.08209487,6.78
42.36570316,-71.08209900,6.84
42.36570323,-71.08209729,6.91
42.36570342,-71.08210127,7.82
42.36570359,-71.08214555,13.23
42.36570367,-71.08214552,13.04
42.36570379,-71.08210531,7.92
42.36570405,-71.08214345,13.37
42.36570411,-71.08214343,13.04
42.36570415,-71.08214341,13.19
42.36570422,-71.08214344,13.38
42.36570425,-71.08214342,13.18
42.36570430,-71.08210710,7.92
42.36570436,-71.08214336,13.04
42.36570439,-71.08214337,13.19
42.36570446,-71.08214613,14.23
42.36570446,-71.08210877,7.82
42.36570462,-71.08211047,7.92
42.36570476,-71.08211537,8.84
42.36570481,-71.08211371,8.94
42.36570482,-71.08214487,13.49
42.36570482,-71.08214479,13.11
42.36570483,-71.08214481,13.13
42.36570483,-71.07681268,6.17
42.36570487,-71.08214483,13.04
42.36570488,-71.08214473,13.51
42.36570490,-71.08214476,13.13
42.36570492,-71.08214479,13.11
42.36570493,-71.08214478,13.49
42.36570493,-71.08214475,13.05
42.36570494,-71.08214474,13.04
42.36570494,-71.08214472,13.5
42.36570496,-71.08214466,13.13
42.36570496,-71.08211650,8.94
42.36570499,-71.08214468,13.04
42.36570500,-71.08214469,13.49
42.36570509,-71.08214467,13.06
42.36570512,-71.08214465,13.13
42.36570526,-71.08215190,15.9
42.36570589,-71.08215654,15.56
42.36570595,-71.08211933,9.79
42.36570629,-71.08214356,13.4
42.36570632,-71.08214352,13.04
42.36570636,-71.08214343,13.03
42.36570641,-71.08214348,13.4
42.36570644,-71.08214354,13.16
42.36570644,-71.08214348,13.18
42.36570646,-71.08212052,9.65
42.36570647,-71.08212196,9.71
42.36570665,-71.08214335,13.02
42.36570666,-71.08214319,13.13
42.36570677,-71.08216224,15.75
42.36570677,-71.08212324,9.79
42.36570680,-71.08214319,13.41
42.36570680,-71.08214314,13.03
42.36570682,-71.08214120,13.38
42.36570685,-71.08214317,13.14
42.36570687,-71.08214330,13.4
42.36570687,-71.08212597,10.46
42.36570693,-71.08214315,13.04
42.36570694,-71.08214315,13.41
42.36570708,-71.08212872,10.58
42.36570709,-71.08214303,13.42
42.36570711,-71.08216533,15.9
42.36570714,-71.08214299,13.14
42.36570715,-71.08214292,13.04
42.36570730,-71.08212713,10.52
42.36570741,-71.08214281,13.42
42.36570742,-71.08216883,18.94
42.36570771,-71.08212976,10.46
42.36570794,-71.08213240,11.63
42.36570804,-71.08213370,11.68
42.36570855,-71.08217624,19.17
42.36570901,-71.08218032,19.3
42.36570967,-71.08218458,18.94
42.36570978,-71.08214133,13.03
42.36570979,-71.08214140,13.11
42.36570979,-71.08214139,13.03
42.36570981,-71.08214137,13.51
42.36570983,-71.08214132,13.13
42.36570993,-71.08214142,13.03
42.36570993,-71.08214141,13.49
42.36570994,-71.08214119,13.17
42.36570997,-71.08214125,13.63
42.36571005,-71.08214137,13.49
42.36571007,-71.08214142,13.1
42.36571017,-71.08214143,13.01
42.36571022,-71.08218904,19.17
42.36571029,-71.08214141,13.1
42.36571034,-71.08214146,13.5
42.36571034,-71.08214138,13.5
42.36571037,-71.08214140,13.03
42.36571041,-71.08214144,13.12
42.36571157,-71.08219869,24.28
42.36571210,-71.08220377,23.87
42.36571304,-71.08220890,24.01
42.36571345,-71.08221450,28.43
42.36571493,-71.08222576,27.91
42.36571578,-71.08223159,27.88
42.36571662,-71.08223758,28.43
42.36571750,-71.08224379,28.13
42.36571910,-71.08225640,27.67
42.36571989,-71.08226305,28.85
42.36572095,-71.08226966,28.13
42.36572260,-71.08228339,23.58
42.36572373,-71.08229023,24.8
42.36572401,-71.07679439,6.53
42.36572492,-71.08229724,24.17
42.36572590,-71.08230437,23.58
42.36572796,-71.08231890,17.92
42.36572907,-71.08232628,17.47
42.36573026,-71.08233375,16.98
42.36573127,-71.08234138,17.73
42.36573257,-71.07678630,6.03
42.36573349,-71.08235699,17.78
42.36573453,-71.08236499,18.14
42.36573579,-71.08237300,17.73
42.36573851,-71.08238941,17.78
42.36573981,-71.08239777,23.56
42.36574104,-71.08240639,24.2
42.36574169,-71.07677800,5.98
42.36574207,-71.08241507,24.01
42.36575130,-71.08242907,23.56
42.36575244,-71.08243810,25.06
42.36575322,-71.07676623,6.06
42.36575401,-71.08244694,25.03
42.36575542,-71.08245619,25.13
42.36575795,-71.08247504,23.41
42.36575908,-71.08248450,23.32
42.36576094,-71.08249391,23.29
42.36576437,-71.08251386,23.41
42.36576571,-71.08252376,2.93
42.36576689,-71.08253397,3.9
42.36576724,-71.07675343,4.98
42.36576792,-71.08254412,4.3
42.36577079,-71.08256469,2.93
42.36577232,-71.08257516,9.17
42.36577367,-71.08258583,9.68
42.36577482,-71.08259674,9.51
42.36577745,-71.08262904,4.15
42.36577762,-71.08261789,9.17
42.36577861,-71.08264016,3.89
42.36578712,-71.08265120,3.87
42.36578901,-71.08267421,2.74
42.36579344,-71.08269661,2.48
42.36579443,-71.08270811,2.62
42.36581183,-71.08288108,3.63
42.36581979,-71.08290646,3.71
42.36582004,-71.08294582,7.21
42.36582047,-71.08291912,3.62
42.36582058,-71.08297170,6.66
42.36582187,-71.08293238,6.77
42.36582300,-71.08298472,6.77
42.36582836,-71.08299797,14.14
42.36582937,-71.08272314,2.74
42.36582993,-71.08301159,12.8
42.36583067,-71.08303923,13.18
42.36583114,-71.08273471,1.97
42.36583161,-71.08312444,7.53
42.36583321,-71.08275884,2.17
42.36583345,-71.08274618,2.15
42.36583416,-71.08305189,14.14
42.36583467,-71.08313776,7.22
42.36583495,-71.08306555,13.93
42.36583642,-71.08310703,14.96
42.36583669,-71.08278278,1.97
42.36583711,-71.08307919,14.21
42.36583838,-71.08279515,2.47
42.36583926,-71.08280750,2.33
42.36584225,-71.08283250,2.28
42.36584389,-71.08316414,7.03
42.36584517,-71.08284475,2.47
42.36584732,-71.08285731,3.62
42.36584795,-71.08317793,7.53
42.36584820,-71.08319220,3.32
